,subject,trial_num,letter,frequency,r,g,b,PBASE,ITI,match,button,correct,RT,block,pupil_feed_locked_t1,pupil_baseline_feed_locked,missing,drop_trial
40,147,40,A,80,75,124,89,3.5099999999999998,4.6100000000000003,1,lalt,True,0.4277322700000000,1.0000000000000000,-1.9404213209760592,14.3467215931137790,False,False
41,147,41,R,40,0,168,107,3.6400000000000001,3.9700000000000002,1,ralt,False,1.8807403100000000,1.0000000000000000,-6.4128459057337244,6.4119275442708510,False,False
42,147,42,T,20,76,154,68,3.7300000000000000,4.2000000000000002,1,ralt,False,1.6677910499999999,1.0000000000000000,-3.0928242392955512,10.4013657757010236,False,False
43,147,43,T,20,76,154,68,4.4000000000000004,5.3600000000000003,1,lalt,True,0.3738641700000000,1.0000000000000000,-9.4746722087896167,7.7853889508286178,False,False
44,147,44,D,20,3,121,112,3.9100000000000001,3.7300000000000000,1,ralt,False,1.5868336800000000,1.0000000000000000,-9.8104031720047331,7.4457508427702814,False,False
45,147,45,T,20,76,154,68,4.1100000000000003,4.6100000000000003,1,lalt,True,0.7639410700000000,1.0000000000000000,-10.5898655271290476,0.2408784264687073,False,False
46,147,46,A,80,75,124,89,3.5200000000000000,4.5499999999999998,1,lalt,True,0.3320497100000000,1.0000000000000000,3.2381988841204885,-0.4584982581108056,False,False
47,147,47,O,80,76,154,68,3.7500000000000000,5.0499999999999998,0,ralt,True,0.5151740600000000,1.0000000000000000,-2.2604139079088603,10.8888349560627837,False,False
48,147,48,R,40,0,168,107,5.0499999999999998,4.0400000000000000,1,lalt,True,2.2820943499999999,1.0000000000000000,-3.7737287219065121,9.8827000992985674,False,False
49,147,49,A,80,75,124,89,5.3600000000000003,5.4299999999999997,1,lalt,True,0.4411272400000000,1.0000000000000000,-8.8418199089592520,-5.0396442328828215,False,False
50,147,50,R,40,0,168,107,5.1100000000000003,4.4199999999999999,1,lalt,True,0.3900042100000000,1.0000000000000000,-2.4678043087467154,3.4967789497207087,False,False
51,147,51,A,80,138,154,91,3.9199999999999999,5.2000000000000002,0,ralt,True,0.3560493500000000,1.0000000000000000,5.3995872743160804,-12.8960875605826271,False,False
52,147,52,A,80,157,193,131,3.9800000000000000,4.9900000000000002,0,ralt,True,0.3920660000000000,1.0000000000000000,-4.5596625298700832,-11.8986777867832565,False,False
53,147,53,D,20,0,168,107,4.6500000000000004,5.2199999999999998,0,ralt,True,2.0680084900000000,1.0000000000000000,3.5474545243644937,5.9493753725035656,False,False
54,147,54,I,40,75,124,89,3.7999999999999998,4.8499999999999996,0,ralt,True,1.1848585100000000,1.0000000000000000,-0.2598847845194915,-7.4318305861167824,False,False
55,147,55,A,80,157,193,131,5.4000000000000004,4.1399999999999997,0,ralt,True,0.3940043400000000,1.0000000000000000,3.2104761737187464,16.8207506136879381,False,False
56,147,56,O,80,157,193,131,4.5499999999999998,4.6299999999999999,1,lalt,True,0.3910131900000000,1.0000000000000000,-1.4659401851828984,5.4838833094150736,False,False
57,147,57,D,20,3,121,112,4.8899999999999997,5.4100000000000001,1,lalt,True,1.1660044599999999,1.0000000000000000,2.2938251461328591,-5.4266572014145060,False,False
58,147,58,D,20,3,121,112,4.2999999999999998,5.0300000000000002,1,lalt,True,0.6859049400000000,1.0000000000000000,-1.3270163094550735,-21.0294570145142252,False,False
59,147,59,D,20,3,121,112,4.9600000000000000,4.1399999999999997,1,lalt,True,0.5109170500000000,1.0000000000000000,1.4964813093508438,-28.4193821160700146,False,False
60,147,60,D,20,157,193,131,4.0000000000000000,4.7199999999999998,0,lalt,False,1.3823898500000000,2.0000000000000000,13.0337509812947872,11.2291250712335504,False,False
61,147,61,R,40,0,168,107,3.9800000000000000,4.1900000000000004,1,lalt,True,0.7404327400000000,2.0000000000000000,-1.6475049662864325,16.6546575572953870,False,False
62,147,62,O,80,138,154,91,4.7900000000000000,4.4100000000000001,0,ralt,True,0.4754741000000000,2.0000000000000000,4.4229373661170728,-1.3586968644078163,False,False
63,147,63,R,40,0,168,107,4.4800000000000004,4.2100000000000000,1,ralt,False,1.9344647100000001,2.0000000000000000,-1.9779298548676312,-0.5779483456517682,False,False
64,147,64,I,40,75,124,89,3.7599999999999998,5.4299999999999997,0,ralt,True,0.8504942800000000,2.0000000000000000,2.2051977107114298,-17.8537347503569137,False,False
65,147,65,D,20,138,154,91,4.8399999999999999,3.6299999999999999,0,lalt,False,2.2093988400000000,2.0000000000000000,-1.8344064725725728,18.2807952844541823,False,False
66,147,66,I,40,75,124,89,4.1699999999999999,4.6799999999999997,0,ralt,True,1.2964047999999999,2.0000000000000000,5.2441350202965840,33.9053741695066506,False,False
67,147,67,A,80,75,124,89,4.0899999999999999,4.3399999999999999,1,lalt,True,0.5524649100000000,2.0000000000000000,-6.1907174594246923,-14.9983979626783928,False,False
68,147,68,T,20,138,154,91,3.7200000000000002,4.8200000000000003,0,ralt,True,1.6924490100000000,2.0000000000000000,5.1752557523293818,-2.8984446692905763,False,False
69,147,69,O,80,3,121,112,5.1900000000000004,4.7400000000000002,0,ralt,True,1.5364372200000000,2.0000000000000000,1.4330596235074260,10.7567481330267274,False,False
70,147,70,R,40,138,154,91,4.8899999999999997,5.4000000000000004,0,ralt,True,0.7313330800000000,2.0000000000000000,-1.8624674217659889,0.1456848829273182,False,False
71,147,71,D,20,3,121,112,5.4299999999999997,5.4600000000000000,1,lalt,True,1.1412469199999999,2.0000000000000000,9.9955185271029769,10.4210837054718208,False,False
72,147,72,R,40,138,154,91,5.2999999999999998,5.2300000000000004,0,ralt,True,0.8851249400000000,2.0000000000000000,7.0608691257081508,-10.0475361618630021,False,False
73,147,73,R,40,0,168,107,5.2400000000000002,4.2199999999999998,1,lalt,True,0.8720135000000000,2.0000000000000000,5.4169718211371496,3.7227767471700295,False,False
74,147,74,A,80,0,168,107,3.6099999999999999,4.0899999999999999,0,ralt,True,0.6800031000000000,2.0000000000000000,5.3403817179130124,24.8690850065062463,False,False
75,147,75,I,40,138,154,91,3.7900000000000000,5.3600000000000003,1,lalt,True,1.0081112200000000,2.0000000000000000,-4.4207314104630813,9.4558604854168049,False,False
76,147,76,O,80,75,124,89,4.0999999999999996,4.4699999999999998,0,ralt,True,1.1450861400000001,2.0000000000000000,-4.9580857498250603,1.5211526838550236,False,False
77,147,77,T,20,76,154,68,5.3799999999999999,3.6699999999999999,1,lalt,True,0.6291658100000000,2.0000000000000000,5.6837589741587520,-2.6597661708420639,False,False
78,147,78,T,20,76,154,68,4.4199999999999999,3.7000000000000002,1,lalt,True,0.4361719500000000,2.0000000000000000,-2.8267071472949232,1.7258249645980772,False,False
79,147,79,D,20,76,154,68,4.8799999999999999,5.4000000000000004,0,ralt,True,0.5733152700000000,2.0000000000000000,-0.8241404588316902,0.6724897572171193,False,False
80,147,80,T,20,0,168,107,5.4500000000000002,4.2800000000000002,0,ralt,True,1.3331779800000001,2.0000000000000000,3.3552482756251671,-11.6236050175135546,False,False
81,147,81,D,20,3,121,112,4.2199999999999998,3.8700000000000001,1,ralt,False,0.8721344599999999,2.0000000000000000,7.6284529223721762,24.5207633361680593,False,False
82,147,82,O,80,76,154,68,3.9399999999999999,4.0000000000000000,0,ralt,True,0.4772454300000000,2.0000000000000000,2.3770630604567504,-3.6736539833973865,False,False
83,147,83,D,20,3,121,112,5.1100000000000003,4.3200000000000003,1,lalt,True,0.8153692500000000,2.0000000000000000,4.9735605825406610,6.2570183512471322,False,False
84,147,84,I,40,138,154,91,4.7500000000000000,5.3099999999999996,1,lalt,True,1.5072797899999999,2.0000000000000000,11.5777997513464346,-20.3851789192190083,False,False
85,147,85,T,20,3,121,112,3.6499999999999999,3.7100000000000000,0,ralt,True,0.9071965100000000,2.0000000000000000,13.1611080667550269,-0.7765175419281688,False,False
86,147,86,A,80,75,124,89,3.8199999999999998,4.6900000000000004,1,lalt,True,0.8223530400000000,2.0000000000000000,-0.3844904951220224,46.6422811913726036,False,False
87,147,87,I,40,138,154,91,3.8500000000000001,4.7100000000000000,1,lalt,True,1.3833655400000000,2.0000000000000000,-14.4307701711922949,-0.0866670086222946,False,False
88,147,88,R,40,3,121,112,4.0999999999999996,3.6899999999999999,0,ralt,True,1.3133732199999999,2.0000000000000000,-0.4906471156623298,3.7749945605242585,False,False
89,147,89,I,40,138,154,91,4.5899999999999999,3.9500000000000002,1,lalt,True,0.8354298000000001,2.0000000000000000,0.9204646479908885,-5.7026941955280437,False,False
90,147,90,I,40,138,154,91,4.0199999999999996,4.3200000000000003,1,lalt,True,0.4105815900000000,2.0000000000000000,0.3702975836280611,-4.3912161108591299,False,False
91,147,91,R,40,76,154,68,4.2599999999999998,4.5400000000000000,0,lalt,False,2.3245257900000000,2.0000000000000000,-9.3658532862648887,20.1078791189801969,False,False
92,147,92,D,20,3,121,112,5.3700000000000001,5.2999999999999998,1,lalt,True,0.8265665000000001,2.0000000000000000,-8.5179662952364623,6.9548244975418205,False,False
93,147,93,O,80,0,168,107,3.6400000000000001,4.7599999999999998,0,ralt,True,0.6844420999999999,2.0000000000000000,7.1168022497226753,-2.1573301480960261,False,False
94,147,94,R,40,157,193,131,5.4800000000000004,5.1699999999999999,0,ralt,True,1.3754721000000001,2.0000000000000000,-2.4643967446793646,-8.9975259097733655,False,False
